id,user_id,hotspot_id,entry_time,exit_time
1,1,14,"2020-10-20 11:59:13","2020-10-20 13:13:13"
2,1,102,"2020-10-20 13:46:59","2020-10-20 14:07:59"
3,1,106,"2020-10-20 16:02:43","2020-10-20 16:45:43"
4,1,148,"2020-10-20 17:18:09","2020-10-20 17:44:09"
5,1,91,"2020-10-20 18:07:57","2020-10-20 21:04:57"
6,1,194,"2020-10-20 21:37:59","2020-10-21 00:18:59"
7,1,68,"2020-10-21 08:14:38","2020-10-21 09:49:38"
8,1,54,"2020-10-21 09:56:47","2020-10-21 12:24:47"
9,1,88,"2020-10-21 13:47:55","2020-10-21 14:24:55"
10,1,185,"2020-10-21 14:31:03","2020-10-21 16:19:03"
11,1,51,"2020-10-21 16:46:51","2020-10-21 19:42:51"
12,1,6,"2020-10-21 21:02:27","2020-10-21 21:05:27"
13,1,37,"2020-10-21 21:39:20","2020-10-21 22:04:20"
14,1,12,"2020-10-21 22:16:20","2020-10-21 22:34:20"
15,1,100,"2020-10-22 00:04:53","2020-10-22 02:21:53"
16,1,151,"2020-10-22 10:44:47","2020-10-22 13:24:47"
17,1,59,"2020-10-22 13:40:43","2020-10-22 16:09:43"
18,1,178,"2020-10-22 16:16:16","2020-10-22 16:52:16"
19,1,197,"2020-10-22 17:09:17","2020-10-22 18:55:17"
20,1,69,"2020-10-22 19:11:11","2020-10-22 21:31:11"
21,1,163,"2020-10-22 21:50:25","2020-10-23 00:29:25"
22,1,72,"2020-10-23 11:23:48","2020-10-23 11:57:48"
23,1,11,"2020-10-23 12:38:21","2020-10-23 15:00:21"
24,1,58,"2020-10-23 15:27:11","2020-10-23 17:53:11"
25,1,29,"2020-10-23 18:54:11","2020-10-23 20:44:11"
26,1,67,"2020-10-23 20:58:41","2020-10-23 21:25:41"
27,1,90,"2020-10-23 22:19:17","2020-10-24 00:57:17"
28,1,190,"2020-10-24 06:52:43","2020-10-24 07:21:43"
29,1,85,"2020-10-24 07:56:26","2020-10-24 09:00:26"
30,1,70,"2020-10-24 09:06:11","2020-10-24 10:52:11"
31,1,112,"2020-10-24 11:02:55","2020-10-24 12:14:55"
32,1,151,"2020-10-24 12:56:35","2020-10-24 13:33:35"
33,1,182,"2020-10-24 14:22:35","2020-10-24 16:02:35"
34,1,22,"2020-10-24 16:04:30","2020-10-24 16:57:30"
35,1,74,"2020-10-24 17:13:55","2020-10-24 18:09:55"
36,1,138,"2020-10-24 18:15:12","2020-10-24 19:19:12"
37,1,156,"2020-10-24 19:30:14","2020-10-24 22:17:14"
38,1,50,"2020-10-24 22:27:41","2020-10-25 00:20:41"
39,1,113,"2020-10-25 08:34:00","2020-10-25 08:56:00"
40,1,104,"2020-10-25 09:33:56","2020-10-25 09:38:56"
41,1,124,"2020-10-25 09:59:13","2020-10-25 11:22:13"
42,1,175,"2020-10-25 12:18:52","2020-10-25 14:48:52"
43,1,3,"2020-10-25 16:22:52","2020-10-25 18:56:52"
44,1,129,"2020-10-25 19:39:46","2020-10-25 20:22:46"
45,1,197,"2020-10-25 20:33:06","2020-10-25 21:51:06"
46,1,50,"2020-10-25 22:00:28","2020-10-25 23:33:28"
47,1,28,"2020-10-26 17:08:14","2020-10-26 19:36:14"
48,1,115,"2020-10-26 19:58:21","2020-10-26 20:01:21"
49,1,174,"2020-10-26 20:22:53","2020-10-26 22:37:53"
50,1,85,"2020-10-26 22:40:10","2020-10-27 00:40:10"
51,1,72,"2020-10-27 13:20:00","2020-10-27 14:45:00"
52,1,174,"2020-10-27 15:04:10","2020-10-27 16:10:10"
53,1,78,"2020-10-27 16:23:16","2020-10-27 16:39:16"
54,1,129,"2020-10-27 16:46:40","2020-10-27 18:50:40"
55,1,111,"2020-10-27 18:54:11","2020-10-27 19:41:11"
56,1,136,"2020-10-27 19:44:24","2020-10-27 20:59:24"
57,1,2,"2020-10-27 21:00:31","2020-10-27 22:34:31"
58,1,31,"2020-10-27 23:24:56","2020-10-27 23:42:56"
59,1,92,"2020-10-28 12:18:27","2020-10-28 14:19:27"
60,1,78,"2020-10-28 14:58:37","2020-10-28 16:12:37"
61,1,126,"2020-10-28 16:15:07","2020-10-28 18:54:07"
62,1,193,"2020-10-28 19:10:00","2020-10-28 20:01:00"
63,1,107,"2020-10-28 20:54:40","2020-10-28 21:17:40"
64,1,139,"2020-10-28 21:37:36","2020-10-29 00:20:36"
65,1,150,"2020-10-29 07:13:24","2020-10-29 10:03:24"
66,1,23,"2020-10-29 10:32:59","2020-10-29 10:43:59"
67,1,50,"2020-10-29 11:25:55","2020-10-29 14:07:55"
68,1,5,"2020-10-29 14:22:53","2020-10-29 14:40:53"
69,1,161,"2020-10-29 14:52:26","2020-10-29 16:38:26"
70,1,152,"2020-10-29 16:44:03","2020-10-29 19:39:03"
71,1,143,"2020-10-29 19:51:44","2020-10-29 20:39:44"
72,1,186,"2020-10-29 21:23:20","2020-10-29 23:36:20"
73,1,161,"2020-10-30 09:37:47","2020-10-30 10:58:47"
74,1,97,"2020-10-30 11:27:45","2020-10-30 12:44:45"
75,1,199,"2020-10-30 13:03:18","2020-10-30 15:37:18"
76,1,80,"2020-10-30 16:01:37","2020-10-30 18:19:37"
77,1,18,"2020-10-30 18:31:39","2020-10-30 19:43:39"
78,1,139,"2020-10-30 20:10:57","2020-10-30 20:36:57"
79,1,194,"2020-10-30 21:00:06","2020-10-30 22:39:06"
80,1,54,"2020-10-30 23:05:49","2020-10-30 23:55:49"
81,1,183,"2020-10-31 13:15:56","2020-10-31 15:37:56"
82,1,78,"2020-10-31 15:50:04","2020-10-31 16:14:04"
83,1,33,"2020-10-31 16:44:41","2020-10-31 16:55:41"
84,1,102,"2020-10-31 17:54:41","2020-10-31 18:30:41"
