id,name,description,x,y,type
1,parking_1878383760240,parking,51.78622076598725,19.435708135245854,outdoor
2,shop_1878383760720,shop,51.75808619124835,19.435536173318585,outdoor
3,cafe_1878383759952,cafe,51.76934689955102,19.477812722232756,outdoor
4,stadium_1878383760288,stadium,51.72378389647488,19.480540887191538,outdoor
5,parking_1878383760576,parking,51.70017582119911,19.407847531283668,outdoor
6,cafe_1878383760432,cafe,51.69134560101639,19.421949560510196,outdoor
7,library_1878383760768,library,51.72993861764746,19.477763890633017,outdoor
8,university_1878383760912,university,51.73616251854384,19.492287062441825,outdoor
9,cafe_1878383760864,cafe,51.76456194527614,19.41631224649685,outdoor
10,bowlingPlace_1878383760960,bowlingPlace,51.74087885472566,19.52927010321051,outdoor
11,library_1878383761008,library,51.75613017397479,19.461208032935684,outdoor
12,library_1878383761056,library,51.75990380852223,19.458103971582513,outdoor
13,stadium_1878383761104,stadium,51.761400345394804,19.459391718485154,outdoor
14,stadium_1878383761200,stadium,51.78169383349088,19.481867510635272,outdoor
15,cinema_1878383761248,cinema,51.73657656172179,19.512078250783368,outdoor
16,library_1878383761296,library,51.73572996713013,19.44540335965016,outdoor
17,cafe_1878383761344,cafe,51.791292770911696,19.456175936853462,outdoor
18,parking_1878383761392,parking,51.7511176250549,19.44743837779196,outdoor
19,restaurant_1878383761440,restaurant,51.783729474838914,19.435665389974805,outdoor
20,cinema_1878383761488,cinema,51.76113028196945,19.513789681090458,outdoor
21,library_1878383761536,library,51.73527819649699,19.411443719739186,outdoor
22,bowlingPlace_1878383761584,bowlingPlace,51.749489188133246,19.47400776284004,outdoor
23,restaurant_1878383761632,restaurant,51.75485603474447,19.45460720795892,outdoor
24,park_1878383761680,park,51.719780791650855,19.416379869749164,outdoor
25,bowlingPlace_1878383761728,bowlingPlace,51.69251675203499,19.454406138775,outdoor
26,cinema_1878383761776,cinema,51.700880390110974,19.46302660792961,outdoor
27,stadium_1878383761824,stadium,51.770810026777774,19.451847545831235,outdoor
28,cafe_1878383761872,cafe,51.75106744360217,19.432245691980558,outdoor
29,shop_1878383761920,shop,51.749821072783625,19.46919928331711,outdoor
30,restaurant_1878383761968,restaurant,51.77972892699056,19.489502817205278,outdoor
31,stadium_1878383762016,stadium,51.75304017076837,19.406092558062657,outdoor
32,university_1878383762064,university,51.761043715473114,19.45796800194013,outdoor
33,cafe_1878383762112,cafe,51.80336602324031,19.464580341347,outdoor
34,shop_1878383762160,shop,51.81001871171855,19.518307604353986,outdoor
35,university_1878383762208,university,51.75538252164463,19.45819872946967,outdoor
36,park_1878383762256,park,51.79756456400529,19.408348030263493,outdoor
37,restaurant_1878383762304,restaurant,51.77433620465236,19.456330816363955,outdoor
38,restaurant_1878383762352,restaurant,51.76296408116376,19.461514096834755,outdoor
39,parking_1878383762400,parking,51.74031276045097,19.46755739020961,outdoor
40,shop_1878383762448,shop,51.82655765325926,19.463715163584453,outdoor
41,library_1878383762496,library,51.765337937856344,19.462358898853083,outdoor
42,university_1878383762544,university,51.74094610678724,19.41173210202623,outdoor
43,restaurant_1878383762592,restaurant,51.745602832225444,19.41885208458598,outdoor
44,cafe_1878383762640,cafe,51.705274200997295,19.444950002670172,outdoor
45,restaurant_1878383762688,restaurant,51.80050199042606,19.42469339431271,outdoor
46,parking_1878383762736,parking,51.730966808105045,19.514917300684388,outdoor
47,parking_1878383762784,parking,51.743337519960974,19.501675720382725,outdoor
48,stadium_1878383762832,stadium,51.79594905559842,19.438203238381256,outdoor
49,cafe_1878383762880,cafe,51.82712540167083,19.42368106927909,outdoor
50,parking_1878383762928,parking,51.7659236045813,19.449183722415867,outdoor
51,stadium_1878383762976,stadium,51.753919546506644,19.49923070050444,outdoor
52,park_1878383763024,park,51.72658277998022,19.43211301080616,outdoor
53,cinema_1878383763072,cinema,51.72640567362541,19.482083632118627,outdoor
54,bowlingPlace_1878383763120,bowlingPlace,51.710688397384196,19.478662603787175,outdoor
55,shop_1878383763168,shop,51.72219586690935,19.400598013324974,outdoor
56,parking_1878383763216,parking,51.72692915458416,19.518855552724226,outdoor
57,stadium_1878383763264,stadium,51.77962227246121,19.387019609783547,outdoor
58,stadium_1878383763312,stadium,51.79612398698097,19.460580625054405,outdoor
59,university_1878383763360,university,51.765491094441586,19.46272009765384,outdoor
60,park_1878383763408,park,51.81126076449417,19.40903954938694,outdoor
61,bowlingPlace_1878383760672,bowlingPlace,51.783168955958544,19.44977843550797,outdoor
62,university_1878383760816,university,51.73349455930196,19.45381300093366,outdoor
63,library_1878383760192,library,51.78045234579612,19.517370760729833,outdoor
64,shop_1878383760528,shop,51.69762811014536,19.44902862707273,outdoor
65,restaurant_1878383761152,restaurant,51.75727372678623,19.46409315942921,outdoor
66,library_1878383760624,library,51.75890249360444,19.459585815350614,outdoor
67,restaurant_1878383760384,restaurant,51.809359915202734,19.426865122738715,outdoor
68,library_1878383886736,library,51.785254249127206,19.408547577745658,outdoor
69,cinema_1878383886784,cinema,51.756788277468814,19.520998691715935,outdoor
70,parking_1878383886832,parking,51.758644154582704,19.474018089860927,outdoor
71,cinema_1878383886880,cinema,51.747618468465205,19.421941853561133,outdoor
72,cinema_1878383886928,cinema,51.75766685190842,19.478410373430144,outdoor
73,cinema_1878383886976,cinema,51.77922920372461,19.47881236831241,outdoor
74,cafe_1878383887024,cafe,51.75626190288951,19.455830302028495,outdoor
75,university_1878383887072,university,51.768423971104895,19.471939133223735,outdoor
76,restaurant_1878383887120,restaurant,51.80896706511986,19.449358861416364,outdoor
77,parking_1878383887168,parking,51.76909630983407,19.4398038142614,outdoor
78,cinema_1878383887216,cinema,51.7520579967252,19.42236455615029,outdoor
79,shop_1878383887264,shop,51.75267960441296,19.476867034850056,outdoor
80,university_1878383887312,university,51.80410952481542,19.4685914997639,outdoor
81,cinema_1878383887360,cinema,51.731223115489364,19.46150927502586,outdoor
82,stadium_1878383887408,stadium,51.73203397526784,19.44244088198088,outdoor
83,park_1878383887456,park,51.781800325886095,19.446595546434057,outdoor
84,shop_1878383887504,shop,51.78285079255027,19.48327297900136,outdoor
85,university_1878383887552,university,51.70576272637482,19.46701339097837,outdoor
86,university_1878383887600,university,51.77821833047196,19.42792702615571,outdoor
87,bowlingPlace_1878383887648,bowlingPlace,51.7163314678812,19.487418180529648,outdoor
88,cinema_1878383887696,cinema,51.78117033943669,19.43020390273934,outdoor
89,parking_1878383887744,parking,51.725415930741455,19.50836970339037,outdoor
90,restaurant_1878383887792,restaurant,51.80158688235717,19.49557003269264,outdoor
91,restaurant_1878383887840,restaurant,51.764576811521465,19.508953759680885,outdoor
92,shop_1878383887888,shop,51.77412602543065,19.470307266977443,outdoor
93,bowlingPlace_1878383887936,bowlingPlace,51.75220504436731,19.457614481041006,outdoor
94,parking_1878383887984,parking,51.76401412687507,19.454286182124907,outdoor
95,university_1878383888032,university,51.767218752435966,19.468099912014917,outdoor
96,park_1878383888080,park,51.79927306430007,19.43867969872907,outdoor
97,parking_1878383888128,parking,51.76641736069591,19.43432074258452,outdoor
98,parking_1878383888176,parking,51.78702012198088,19.417119201294103,outdoor
99,restaurant_1878383888224,restaurant,51.789469151320134,19.45098637418453,outdoor
100,restaurant_1878383888272,restaurant,51.74422707982026,19.44120898098828,outdoor
101,bowlingPlace_1878383888320,bowlingPlace,51.69455822096091,19.480113654522636,outdoor
102,restaurant_1878383888368,restaurant,51.74945569632842,19.393926705205544,outdoor
103,cafe_1878383888416,cafe,51.81697731721204,19.426424785416625,outdoor
104,stadium_1878383888464,stadium,51.78083648352234,19.425832122256846,outdoor
105,library_1878383888512,library,51.792943156620375,19.52977163645657,outdoor
106,parking_1878383888560,parking,51.759448364426454,19.485615067499083,outdoor
107,shop_1878383888608,shop,51.766633799992405,19.458281787308298,outdoor
108,bowlingPlace_1878383888656,bowlingPlace,51.78451264655855,19.39607129722457,outdoor
109,shop_1878383888704,shop,51.8230206324241,19.429946627265664,outdoor
110,parking_1878383888752,parking,51.78800701489391,19.531531210184866,outdoor
111,park_1878383888800,park,51.80404961645195,19.477507511040198,outdoor
112,library_1878383888848,library,51.75148784359853,19.479339682420658,outdoor
113,parking_1878383888896,parking,51.758277563515314,19.467076742074635,outdoor
114,restaurant_1878383888944,restaurant,51.73615544264725,19.520912390178406,outdoor
115,stadium_1878383888992,stadium,51.76341494342694,19.460703579945424,outdoor
116,university_1878383889040,university,51.77732402888189,19.514951648762406,outdoor
117,park_1878383889088,park,51.77855251061321,19.460153291781694,outdoor
118,university_1878383889136,university,51.756518879754,19.42941219209349,outdoor
119,library_1878383889184,library,51.74383132783856,19.479598078114446,outdoor
120,parking_1878383889232,parking,51.77307668404814,19.426980499655176,outdoor
121,restaurant_1878383889280,restaurant,51.753611153248656,19.4533553612306,outdoor
122,university_1878383889328,university,51.753119101631384,19.45371363510492,outdoor
123,restaurant_1878383889376,restaurant,51.76219295373409,19.453486944843686,outdoor
124,library_1878383889424,library,51.758291215500165,19.460845129793825,outdoor
125,park_1878383889472,park,51.6950335901545,19.43853693396192,outdoor
126,stadium_1878383889520,stadium,51.695491577786335,19.45010147488138,outdoor
